Kingdom	Phylum	Class	Order	Family	Genus	GenusLabel	B-VEN-D9
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces	0.290016383637167
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus	0.209086417184615
Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Cephalosporium	Cephalosporium	0.193300912802642
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma	0.0546901412113489
Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia	0.0489428653161002
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum	0.0204925493459548
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Yarrowia	Yarrowia	0.0198163992406314
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium	0.0174498738719996
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula	0.0172418276857462
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces	0.0164356487140145
Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora	0.0151353600499311
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus	0.0149793254102411
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia	0.0144592099446077
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus	Zygoascus	0.0106103554989208
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida	Candida	0.00863391672951395
Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum	0.00790575507762723
Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia	0.00748966270512054
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora	0.00439497568460198
Fungi	NA	NA	NA	NA	NA	Unclassified_32	0.00439497568460198
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma	Barnettozyma	0.00434296413803864
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria	0.00390086599225028
Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium	0.00382284867240527
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella	Kurtzmaniella	0.00319871011364523
Fungi	Ascomycota	NA	NA	NA	NA	Unclassified_12	0.00221049072894183
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia	0.00137830598392843
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella	0.00114425402439342
Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	Unclassified_3	0.00104023093126674
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	Unclassified_22	0.000598132785478376
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	Neocosmospora	0.000520115465633371
NA	NA	NA	NA	NA	NA	Unclassified_41	0.000494109692351702
Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Nigrospora	Nigrospora	0.000442098145788365
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces	Lodderomyces	0.000364080825943359
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus	0.000156034639690011
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius	7.80173198450056e-05
Fungi	Ascomycota	Dothideomycetes	Zeloasperisporiales	Zeloasperisporiaceae	Zeloasperisporium	Zeloasperisporium	5.20115465633371e-05
Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Erysiphe	Erysiphe	5.20115465633371e-05
Fungi	Basidiomycota	Cystobasidiomycetes	NA	Symmetrosporaceae	Symmetrospora	Symmetrospora	5.20115465633371e-05
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	Unclassified_28	5.20115465633371e-05
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor	5.20115465633371e-05
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces	5.20115465633371e-05
Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera	Lectera	5.20115465633371e-05
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma	2.60057732816685e-05
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Phragmocapnias	Phragmocapnias	2.60057732816685e-05
Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	NA	Unclassified_7	2.60057732816685e-05
Fungi	Rozellomycota	NA	NA	NA	NA	Unclassified_16	2.60057732816685e-05
Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	Unclassified_20	2.60057732816685e-05
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella	2.60057732816685e-05
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus	2.60057732816685e-05
Fungi	Ascomycota	Leotiomycetes	Rhytismatales	NA	NA	Unclassified_39	2.60057732816685e-05
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	Unclassified_44	2.60057732816685e-05
Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	Unclassified_46	2.60057732816685e-05
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria	2.60057732816685e-05
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Roussoellaceae	Neoroussoella	Neoroussoella	2.60057732816685e-05
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces	2.60057732816685e-05
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola	2.60057732816685e-05
Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Cordanaceae	Cordana	Cordana	2.60057732816685e-05
Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	Unclassified_55	2.60057732816685e-05
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium	2.60057732816685e-05
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Bisifusarium	Bisifusarium	2.60057732816685e-05
